RTA;pop tot;ménages tot;armes;armes/hab;armes/ménage;armes/hab (2);armes/menage (2)
A0;238116;97220;141312;0,5934586504;1,4535280806;0.5934586504;1.4535280806
A1;206217;82898;42942;0,2082369543;0,5180100847;0.2082369543;0.5180100847
A2;55690;22971;22688;0,4073980966;0,9876801184;0.4073980966;0.9876801184
A5;7974;3158;3946;0,4948582894;1,2495250158;0.4948582894;1.2495250158
A8;6539;2595;3097;0,4736198195;1,1934489403;0.4736198195;1.1934489403
B0;293246;124522;165388;0,5639906427;1,3281829717;0.5639906427;1.3281829717
B1;94261;39267;21494;0,2280264372;0,5473807523;0.2280264372;0.5473807523
B2;164120;66828;40478;0,2466366074;0,6057041958;0.2466366074;0.6057041958
B3;209232;94831;33025;0,1578391451;0,3482510993;0.1578391451;0.3482510993
B4;130606;52270;36591;0,2801632391;0,7000382629;0.2801632391;0.7000382629
B5;12688;5597;5413;0,4266235813;0,9671252457;0.4266235813;0.9671252457
B6;12840;4996;4276;0,3330218069;0,8558847078;0.3330218069;0.8558847078
B9;4734;1968;1220;0,2577101817;0,6199186992;0.2577101817;0.6199186992
C0;73210;28448;16311;0,222797432;0,5733619235;0.222797432;0.5733619235
C1;66994;28014;8524;0,1272352748;0,3042764332;0.1272352748;0.3042764332
E1;171101;72271;44002;0,2571697418;0,6088472555;0.2571697418;0.6088472555
E2;136244;56347;35314;0,2591967353;0,6267236943;0.2591967353;0.6267236943
E3;133736;56562;47785;0,3573084285;0,8448251476;0.3573084285;0.8448251476
E4;104121;43591;50418;0,4842250843;1,1566148976;0.4842250843;1.1566148976
E5;51579;20745;30602;0,5933034762;1,4751506387;0.5933034762;1.4751506387
E6;20560;8367;17420;0,8472762646;2,0819887654;0.8472762646;2.0819887654
E7;56703;23349;31657;0,5582949756;1,3558182363;0.5582949756;1.3558182363
E8;57400;24744;26385;0,4596689895;1,0663191077;0.4596689895;1.0663191077
E9;19727;8031;9398;0,4764028996;1,1702154153;0.4764028996;1.1702154153
G0;622399;260995;307217;0,4936013715;1,1770991781;0.4936013715;1.1770991781
G1;365855;182389;48447;0,1324213145;0,2656245717;0.1324213145;0.2656245717
G2;117868;50829;22624;0,1919435301;0,4451002381;0.1919435301;0.4451002381
G3;123330;48269;34544;0,2800940566;0,7156560111;0.2800940566;0.7156560111
G4;89189;38883;40906;0,4586440032;1,0520278785;0.4586440032;1.0520278785
G5;154233;69236;55651;0,3608242075;0,8037870472;0.3608242075;0.8037870472
G6;224762;97548;53246;0,2368994759;0,5458440973;0.2368994759;0.5458440973
G7;161859;70385;47092;0,2909445876;0,6690630106;0.2909445876;0.6690630106
G8;189749;84792;64880;0,3419253856;0,7651665251;0.3419253856;0.7651665251
G9;107704;51013;29834;0,2769999257;0,5848313175;0.2769999257;0.5848313175
H1;564084;252205;37818;0,0670432063;0,1499494459;0.0670432063;0.1499494459
H2;356406;186025;18675;0,0523981078;0,1003897326;0.0523981078;0.1003897326
H3;290409;132722;14837;0,0510900144;0,1117900574;0.0510900144;0.1117900574
H4;324035;141663;26781;0,0826484793;0,1890472459;0.0826484793;0.1890472459
H5;5;2;0;0;0;0;0
H7;401553;154456;43390;0,1080554746;0,2809214275;0.1080554746;0.2809214275
H8;149318;63628;11013;0,073755341;0,1730841768;0.073755341;0.1730841768
H9;202224;73198;16717;0,0826657568;0,2283805568;0.0826657568;0.2283805568
J0;838328;346935;354824;0,4232519968;1,0227391298;0.4232519968;1.0227391298
J1;214855;97169;45235;0,2105373391;0,4655291297;0.2105373391;0.4655291297
