RTA;pop tot;ménages tot;armes;armes/hab;armes/ménage;armes/hab (2);armes/menage (2)
G0;622399;260995;307217;0,4936013715;1,1770991781;0.4936013715;1.1770991781
G1;365855;182389;48447;0,1324213145;0,2656245717;0.1324213145;0.2656245717
G2;117868;50829;22624;0,1919435301;0,4451002381;0.1919435301;0.4451002381
G3;123330;48269;34544;0,2800940566;0,7156560111;0.2800940566;0.7156560111
G4;89189;38883;40906;0,4586440032;1,0520278785;0.4586440032;1.0520278785
G5;154233;69236;55651;0,3608242075;0,8037870472;0.3608242075;0.8037870472
G6;224762;97548;53246;0,2368994759;0,5458440973;0.2368994759;0.5458440973
G7;161859;70385;47092;0,2909445876;0,6690630106;0.2909445876;0.6690630106
G8;189749;84792;64880;0,3419253856;0,7651665251;0.3419253856;0.7651665251
G9;107704;51013;29834;0,2769999257;0,5848313175;0.2769999257;0.5848313175
H1;564084;252205;37818;0,0670432063;0,1499494459;0.0670432063;0.1499494459
H2;356406;186025;18675;0,0523981078;0,1003897326;0.0523981078;0.1003897326
H3;290409;132722;14837;0,0510900144;0,1117900574;0.0510900144;0.1117900574
H4;324035;141663;26781;0,0826484793;0,1890472459;0.0826484793;0.1890472459
H5;5;2;0;0;0;0;0
H7;401553;154456;43390;0,1080554746;0,2809214275;0.1080554746;0.2809214275
H8;149318;63628;11013;0,073755341;0,1730841768;0.073755341;0.1730841768
H9;202224;73198;16717;0,0826657568;0,2283805568;0.0826657568;0.2283805568
J0;838328;346935;354824;0,4232519968;1,0227391298;0.4232519968;1.0227391298
J1;214855;97169;45235;0,2105373391;0,4655291297;0.2105373391;0.4655291297
J2;279729;121599;50976;0,1822335189;0,4192139738;0.1822335189;0.4192139738
J3;351824;141950;54841;0,1558762336;0,3863402607;0.1558762336;0.3863402607
J4;311033;135495;33360;0,1072555002;0,2462083472;0.1072555002;0.2462083472
J5;261406;100689;46162;0,176591203;0,4584612023;0.176591203;0.4584612023
J6;286845;118061;44512;0,1551778835;0,377025436;0.1551778835;0.377025436
J7;442543;172775;64901;0,1466546754;0,3756388366;0.1466546754;0.3756388366
J8;278660;120763;66051;0,2370307902;0,5469473266;0.2370307902;0.5469473266
J9;192796;81669;73159;0,3794632669;0,8957988955;0.3794632669;0.8957988955
