RTA,pop tot,ménages tot
A0,238116,97220
A1,206217,82898
A2,55690,22971
A5,7974,3158
A8,6539,2595
B0,293246,124522
B1,94261,39267
B2,164120,66828
B3,209232,94831
B4,130606,52270
B5,12688,5597
B6,12840,4996
B9,4734,1968
C0,73210,28448
C1,66994,28014
E1,171101,72271
E2,136244,56347
E3,133736,56562
E4,104121,43591
E5,51579,20745
E6,20560,8367
E7,56703,23349
E8,57400,24744
E9,19727,8031
G0,622399,260995
G1,365855,182389
G2,117868,50829
G3,123330,48269
G4,89189,38883
G5,154233,69236
G6,224762,97548
G7,161859,70385
G8,189749,84792
G9,107704,51013
H1,564084,252205
H2,356406,186025
H3,290409,132722
H4,324035,141663
H5,5,2
H7,401553,154456
H8,149318,63628
H9,202224,73198
J0,838328,346935
J1,214855,97169
J2,279729,121599
J3,351824,141950
J4,311033,135495
J5,261406,100689
J6,286845,118061
J7,442543,172775
J8,278660,120763
J9,192796,81669
K0,548493,216985
K1,405386,173431
K2,352040,136208
K4,95520,32892
K6,91814,40511
K7,222180,93797
K8,118237,49111
K9,142243,59187
L0,384244,139431
L1,557667,196005
L2,246497,101735
L3,456570,157782
L4,805834,266561
L5,571809,187836
L6,812923,244273
L7,366220,127370
L8,313552,129788
L9,405793,147513
M1,627817,212362
M2,258563,100917
M3,236492,87738
M4,420015,194895
M5,222577,114439
M6,443385,183471
M7,0,2
M8,97555,44168
M9,308663,109887
N0,597055,223363
N1,240058,91717
N2,329670,128789
N3,225096,86491
N4,138536,57136
N5,249179,101813
N6,227921,96307
N7,149978,63833
N8,194645,78960
N9,155664,60230
P0,283300,115566
P1,96236,40555
P2,29472,12960
P3,125603,53718
P4,33526,14037
P5,25298,11829
P6,78802,33991
P7,119486,51341
P8,15331,6195
P9,24876,10382
R0,339339,119977
R1,37578,14496
R2,376770,147821
R3,303454,126688
R4,9098,2774
R5,28371,9734
R6,27108,9035
R7,60044,25229
R8,18949,7427
R9,7557,2957
S0,432450,164863
S2,730,290
S3,17930,7612
S4,223190,91410
S6,76398,30838
S7,230700,93878
S9,52091,20776
T0,571556,204377
T1,338048,127333
T2,578335,240888
T3,485337,172072
T4,275828,105097
T5,434584,179933
T6,381228,146005
T7,127722,47670
T8,264464,96787
T9,188047,70091
V0,494676,208399
V1,373751,154256
V2,554740,216894
V3,764574,271541
V4,329436,119913
V5,506198,195199
V6,375037,176319
V7,284387,108417
V8,306447,136572
V9,410811,177127
X0,53636,16229
X1,19732,7132
Y0,8296,3810
Y1,25601,10307
